Boss,Game,Relation,Species
Antasma,Mario & Luigi: Dream Team,BOSS_IN,Bat
Antasma,Mario & Luigi: Paper Jam,BOSS_IN,Bat
Black Shy Guy,Mario Kart DS,BOSS_IN,
Black Shy Guy,Paper Mario,BOSS_IN,
Black Shy Guy,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,
Black Shy Guy,Paper Mario: Color Splash,BOSS_IN,
Black Shy Guy,Mario Kart Tour,BOSS_IN,
Black Shy Guy,Paper Mario: The Origami King,BOSS_IN,
Black Shy Guy,Paper Mario: The Thousand-Year Door (Nintendo Switch),BOSS_IN,
Big Boo,Super Mario World,BOSS_IN,
Big Boo,Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN,
Big Boo,Luigi's Mansion,BOSS_IN,
Big Boo,Paper Mario: The Thousand-Year Door,BOSS_IN,
Big Boo,Super Mario 64 / Super Mario 64 DS,BOSS_IN,
Big Boo,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,
Big Boo,Luigi's Mansion: Dark Moon,BOSS_IN,
Big Boo,Super Paper Mario,BOSS_IN,
Big Boo,Super Mario Sunshine,BOSS_IN,
Big Boo,Paper Mario: Sticker Star,BOSS_IN,
Big Boo,Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN,
Big Boo,Super Mario Galaxy,BOSS_IN,
Big Boo,New Super Mario Bros. Wii,BOSS_IN,
Big Boo,Super Mario Galaxy 2,BOSS_IN,
Big Boo,Super Mario 3D Land,BOSS_IN,
Big Boo,New Super Mario Bros. 2,BOSS_IN,
Big Boo,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,
Big Boo,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN,
Big Boo,Super Mario Maker subseries,BOSS_IN,
Big Boo (character),Super Mario 64 / Super Mario 64 DS,BOSS_IN,Big Boo;Sleepy Boo
Big Boo (character),Mario Party,BOSS_IN,Big Boo;Sleepy Boo
Big Boo (character),Super Mario Sunshine,BOSS_IN,Big Boo;Sleepy Boo
Big Boo (character),Mario Party 2,BOSS_IN,Big Boo;Sleepy Boo
Big Boo (character),Mario Party 4,BOSS_IN,Big Boo;Sleepy Boo
Big Blooper,Mario Party 6,BOSS_IN,
Big Blooper,Paper Mario,BOSS_IN,
Big Blooper,Mario Party 7,BOSS_IN,
Big Blooper,Paper Mario: The Thousand-Year Door,BOSS_IN,
Big Blooper,Mario Party 9,BOSS_IN,
Big Blooper,Super Paper Mario,BOSS_IN,
Big Blooper,Mario Party 10,BOSS_IN,
Big Blooper,Paper Mario: The Origami King,BOSS_IN,
Big Blooper,Mario Party: Star Rush,BOSS_IN,
Big Blooper,Super Mario Party,BOSS_IN,
Big Buzzy Beetle,New Super Mario Bros. U,BOSS_IN,
Big Buzzy Beetle,Paper Mario: Sticker Star,BOSS_IN,
Big Buzzy Beetle,Super Mario Maker / Super Mario Maker for Nintendo 3DS / Super Mario Maker 2,BOSS_IN,
Big Buzzy Beetle,Paper Mario: Color Splash,BOSS_IN,
Big Chain Chomp,New Super Mario Bros. Wii,BOSS_IN,
Big Chain Chomp,Paper Mario: Sticker Star,BOSS_IN,
Big Chain Chomp,New Super Mario Bros. 2,BOSS_IN,
Big Chain Chomp,Paper Mario: Color Splash,BOSS_IN,
Big Chain Chomp,Super Mario Maker / Super Mario Maker for Nintendo 3DS,BOSS_IN,
Big Chain Chomp,Super Mario Odyssey,BOSS_IN,
Big Chain Chomp,Super Mario Maker 2,BOSS_IN,
Big Fire Piranha,Super Mario 64 / Super Mario 64 DS,BOSS_IN,
Big Fire Piranha,New Super Mario Bros. Wii,BOSS_IN,
Big Fire Piranha,New Super Mario Bros. 2,BOSS_IN,
Big Fire Piranha,New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,
Big Fire Piranha,Super Mario Maker / Super Mario Maker for Nintendo 3DS,BOSS_IN,
Big Fire Piranha,Super Mario Maker 2,BOSS_IN,
Big Fire Piranha,Super Mario Bros. Wonder,BOSS_IN,
Big Cheep Cheep,Super Mario Bros. 3,BOSS_IN,
Big Cheep Cheep,Super Mario Kart,BOSS_IN,
Big Cheep Cheep,Mario Party 5,BOSS_IN,
Big Cheep Cheep,Super Paper Mario,BOSS_IN,
Big Cheep Cheep,New Super Mario Bros.,BOSS_IN,
Big Cheep Cheep,Mario Kart 64,BOSS_IN,
Big Cheep Cheep,Mario Party 7,BOSS_IN,
Big Cheep Cheep,Paper Mario: Sticker Star,BOSS_IN,
Big Cheep Cheep,New Super Mario Bros. Wii,BOSS_IN,
Big Cheep Cheep,Mario Kart: Super Circuit,BOSS_IN,
Big Cheep Cheep,Mario Party 8,BOSS_IN,
Big Cheep Cheep,Paper Mario: The Origami King,BOSS_IN,
Big Cheep Cheep,New Super Mario Bros. 2,BOSS_IN,
Big Cheep Cheep,Mario Kart: Double Dash!!,BOSS_IN,
Big Cheep Cheep,Mario Party DS,BOSS_IN,
Big Cheep Cheep,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,
Big Cheep Cheep,Mario Kart Wii,BOSS_IN,
Big Cheep Cheep,Mario Party 10,BOSS_IN,
