Character,Game,Relation,Species
5-Volt,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Human
5-Volt,WarioWare: Twisted!,CHARACTER_IN,Human
5-Volt,WarioWare: Touched!,CHARACTER_IN,Human
5-Volt,Game & Wario,CHARACTER_IN,Human
5-Volt,Super Smash Bros. for Wii U,CHARACTER_IN,Human
5-Volt,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Human
5-Volt,WarioWare Gold,CHARACTER_IN,Human
5-Volt,Super Smash Bros. Ultimate,CHARACTER_IN,Human
5-Volt,WarioWare: Get It Together!,CHARACTER_IN,Human
5-Volt,Tetris 99,CHARACTER_IN,Human
5-Volt,WarioWare: Move It!,CHARACTER_IN,Human
18-Volt,WarioWare: Twisted!,CHARACTER_IN,Human
18-Volt,WarioWare: Twisted!,CHARACTER_IN,Human
18-Volt,WarioWare: Smooth Moves,CHARACTER_IN,Human
18-Volt,Super Smash Bros. Brawl,CHARACTER_IN,Human
18-Volt,WarioWare: D.I.Y. Showcase,CHARACTER_IN,Human
18-Volt,Game & Wario,CHARACTER_IN,Human
18-Volt,Super Smash Bros. for Wii U,CHARACTER_IN,Human
18-Volt,Rhythm Heaven Megamix,CHARACTER_IN,Human
18-Volt,WarioWare Gold,CHARACTER_IN,Human
18-Volt,Super Smash Bros. Ultimate,CHARACTER_IN,Human
18-Volt,WarioWare: Get It Together!,CHARACTER_IN,Human
18-Volt,Tetris 99,CHARACTER_IN,Human
18-Volt,WarioWare: Move It!,CHARACTER_IN,Human
9-Volt,"WarioWare, Inc.: Mega Microgame$!",CHARACTER_IN,Human
9-Volt,Wario World,CHARACTER_IN,Human
9-Volt,"WarioWare, Inc.: Mega Party Game$!",CHARACTER_IN,Human
9-Volt,WarioWare: Twisted!,CHARACTER_IN,Human
9-Volt,WarioWare: Touched!,CHARACTER_IN,Human
9-Volt,WarioWare: Smooth Moves,CHARACTER_IN,Human
9-Volt,Super Smash Bros. Brawl,CHARACTER_IN,Human
9-Volt,Paper Airplane Chase,CHARACTER_IN,Human
9-Volt,WarioWare: D.I.Y.,CHARACTER_IN,Human
9-Volt,WarioWare: D.I.Y. Showcase,CHARACTER_IN,Human
9-Volt,Game & Wario,CHARACTER_IN,Human
9-Volt,Super Smash Bros. for Wii U,CHARACTER_IN,Human
9-Volt,Rhythm Heaven Megamix,CHARACTER_IN,Human
9-Volt,WarioWare Gold,CHARACTER_IN,Human
9-Volt,Super Smash Bros. Ultimate,CHARACTER_IN,Human
9-Volt,WarioWare: Get It Together!,CHARACTER_IN,Human
9-Volt,Tetris 99,CHARACTER_IN,Human
9-Volt,WarioWare: Move It!,CHARACTER_IN,Human
Ancient Minister,Super Mario RPG: Legend of the Seven Stars,CHARACTER_IN,Robot
