Game,Year,Console
Donkey Kong,1981,Arcade
Crazy Kong,1981,Arcade
Crazy Kong Part II,1981,Arcade
Green House,1982,Game & Watch
Donkey Kong,1982,Intellivision
Donkey Kong Jr.,1982,Arcade
Donkey Kong Jr.,1982,Game & Watch
Donkey Kong,1982,ColecoVision
Donkey Kong,1982,Atari 2600
Donkey Kong,1982,Game & Watch
Donkey Kong,1982,Coleco Tabletop
Donkey Kong Jr.,1983,Intellivision
Donkey Kong Jr. Math,1983,Famicom / NES
Donkey Kong,1983,Apple II
Mario's Bombs Away,1983,Game & Watch
Donkey Kong,1983,MS-DOS
Donkey Kong,1983,TI-99/4A
Donkey Kong 3,1983,Arcade
Donkey Kong Jr. + Jr. Sansū Lesson,1983,Famicom
Mario Bros.,1983,Famicom / NES
Mario Bros.,1983,Atari 2600
Donkey Kong Jr.,1983,Famicom / NES
Donkey Kong II,1983,Game & Watch
Mario Bros.,1983,Game & Watch
Donkey Kong Jr.,1983,Game & Watch
Donkey Kong Jr.,1983,ColecoVision
Donkey Kong,1983,Atari 8-bit computers
Mario Bros.,1983,Arcade
Donkey Kong,1983,Famicom / NES
Mario's Cement Factory,1983,Game & Watch
Donkey Kong Jr.,1983,Atari 2600
Donkey Kong Hockey,1984,Game & Watch
Mario Bros. Special,1984,"NEC PC-6001mkII/6601, NEC PC-8001, NEC PC-8801mkII, NEC PC-9801, FM-7, Sharp X1, Sharp MZ-1500, Sharp MZ-2200, Hitachi S1, SMC-777"
Punch Ball Mario Bros.,1984,"NEC PC-6001mkII/6601, NEC PC-8001mkII,NEC PC-8801, FM-7, Sharp X1, Sharp MZ-1500, Hitachi S1, IBM JX"
Donkey Kong Circus,1984,Game & Watch
Donkey Kong 3,1984,Game & Watch
VS. Wrecking Crew,1984,Arcade
Donkey Kong 3: Dai Gyakushū,1984,"NEC PC-6001mkII/6601, NEC PC-8801, Sharp X1, IBM JX"
VS. Pinball,1984,VS. System
Stroke & Match Golf,1984,VS. System
Donkey Kong,1984,Coleco Adam
Golf,1984,Famicom / NES
Donkey Kong Jr.,1984,Coleco Adam
Donkey Kong Jr.,1984,Atari 8-bit computers
Pinball,1984,Famicom / NES
Mario Bros.,1984,PC-8001
Mario Bros.,1984,Atari 5200
Donkey Kong,1984,Commodore 64
Donkey Kong,1984,Commodore VIC-20
Donkey Kong 3,1984,Famicom / NES
Wrecking Crew,1985,Famicom / NES
Super Mario Bros.,1985,Famicom / NES
Golf,1985,PC-88
Golf,1985,Sharp X1
Super Mario Bros. Special,1986,NEC PC-8801
Super Mario Bros.,1986,Game & Watch
All Night Nippon: Super Mario Bros.,1986,Famicom Disk System
I am a teacher: Super Mario Sweater,1986,Famicom Disk System
Super Mario Bros.: The Lost Levels,1986,Famicom Disk System
Donkey Kong,1986,Commodore 64 (Ocean Software)
Golf,1986,NES / Famicom Disk System
Donkey Kong,1986,Amstrad CPC
Donkey Kong,1986,ZX Spectrum
Donkey Kong,1986,MSX
VS. Super Mario Bros.,1986,Arcade
Golf: Japan Course,1987,Famicom Disk System
Golf: US Course,1987,Famicom Disk System
Yume Kōjō: Doki Doki Panic,1987,Famicom Disk System
Famicom Grand Prix: F1 Race,1987,Famicom Disk System
Mario Bros.,1988,Atari 7800
Mario Bros. Returns,1988,Famicom Disk System
Mario Bros.,1988,Atari 8-bit computers
Donkey Kong Jr.,1988,Atari 7800
Donkey Kong,1988,Atari 7800
Super Mario Bros. 3,1988,Famicom / NES
Super Mario Bros. 2,1988,Famicom / NES
Donkey Kong Jr.,1988,Famicom Disk System
Famicom Grand Prix II: 3D Hot Rally,1988,Famicom Disk System
Donkey Kong,1988,Famicom Disk System
Donkey Kong Classics,1988,NES
Super Mario Bros.,1989,Nelsonic Game Watch
Super Mario Land,1989,Game Boy
Baseball,1989,Game Boy
Alleyway,1989,Game Boy
Tetris,1989,Game Boy
Golf,1989,Game Boy
Super Mario World,1990,Super Famicom / SNES
Dr. Mario,1990,Famicom / NES / Game Boy
Super Mario Bros. 3,1990,Nelsonic Game Watch
Luigi's Hammer Toss,1990,Super Mario Bros. Watch
Mario's Egg Catch,1990,Super Mario Bros. Watch
Princess Toadstool's Castle Run,1990,Super Mario Bros. Watch
Mario Roulette,1991,Arcade
"Super Mario 
World",1991,Nelsonic Game Watch
Super Mario Bros. Print World,1991,MS-DOS
NES Open Tournament Golf,1991,Famicom / NES
Mario the Juggler,1991,Game & Watch
Yoshi,1991,Famicom / NES / Game Boy
Yoshi's Cookie,1992,NES / Game Boy
Super Mario Land 2: 6 Golden Coins,1992,Game Boy
Super Mario Kart,1992,Super Famicom / SNES
Mario Paint,1992,Super Famicom / SNES
Super Mario Bros. Mushroom World,1992,Arcade
Super Mario Bros.,1992,Arcade
Mario Teaches Typing,1992,MS-DOS
Terebi Denwa: Super Mario World,1992,Arcade
Super Mario Race,1992,Gamewatch Boy
Super Mario Bros. & Friends: When I Grow Up,1992,MS-DOS
Yoshi's Safari,1993,Super Famicom / SNES
Mario's Time Machine,1993,SNES
Mario's Early Years! Preschool Fun,1993,MS-DOS
Mario's Early Years! Fun with Numbers,1993,MS-DOS
Mario's Early Years! Fun with Letters,1993,MS-DOS
Mario's Time Machine,1993,MS-DOS
Mario & Wario,1993,Super Famicom
Super Mario All-Stars,1993,Super Famicom / SNES
Būbū Mario,1993,Arcade
Mario is Missing!,1993,SNES
Dr. Mario,1993,Gamewatch Boy
Mario is Missing!,1993,MS-DOS
Mario is Missing!,1993,NES
Super Mario World,1993,Arcade
Yoshi's Cookie,1993,Super Famicom / SNES
Mario Undōkai,1993,Arcade
Tetris & Dr. Mario,1994,SNES
Wario's Woods,1994,SNES
Super Mario All-Stars + Super Mario World,1994,SNES
Donkey Kong Country,1994,Super Famicom / SNES
Mario's Early Years! Preschool Fun,1994,SNES
Mario's Early Years! Fun with Letters,1994,SNES
Mario's Early Years! Fun with Numbers,1994,SNES
Mario Teaches Typing,1994,Microsoft Windows
Wario Blast: Featuring Bomberman!,1994,Game Boy
Donkey Kong,1994,Game Boy
Hotel Mario,1994,Philips CD-i
Mario's Time Machine,1994,NES
Wario's Woods,1994,Famicom / NES
Wario Land: Super Mario Land 3,1994,Game Boy
Yoshi no Cookie: Kuruppon Oven de Cookie,1994,Super Famicom
Donkey Kong,1994,Nelsonic Game Watch
Mario's Early Years! CD-ROM Collection,1994,MS-DOS
Mario's Super Picross,1995,Super Famicom
Virtual Boy Wario Land,1995,Virtual Boy
Satella-Q,1995,Satellaview (Super Famicom)
Donkey Kong Country 2: Diddy's Kong Quest,1995,Super Famicom / SNES
Mario Clash,1995,Virtual Boy
Super Mario World 2: Yoshi's Island,1995,Super Famicom / SNES
Mario's Picross,1995,Game Boy
Donkey Kong Land,1995,Game Boy
Mario's Tennis,1995,Virtual Boy
