Game,Relation,Figure,Species,Console,Year,Sales
mario & luigi: dream team,BOSS_IN,antasma,bat,3DS,2013,2.08
mario & luigi: paper jam,BOSS_IN,antasma,bat,3DS,2015,0.76
mario kart ds,BOSS_IN,black shy guy,,DS,2005,23.21
paper mario,BOSS_IN,black shy guy,,N64,2000,1.38
paper mario: color splash,BOSS_IN,black shy guy,,WiiU,2016,0.42
mario kart tour,BOSS_IN,black shy guy,,Mobile,2019,
paper mario: the origami king,BOSS_IN,black shy guy,,Switch,2020,
super mario world,BOSS_IN,big boo,,SNES,1990,26.07
super mario world,BOSS_IN,big boo,,Arcade,1993,26.07
mario & luigi: superstar saga + bowser's minions,BOSS_IN,big boo,,3DS,2017,
luigi's mansion,BOSS_IN,big boo,,GC,2001,3.6
luigi's mansion,BOSS_IN,big boo,,3DS,2018,3.6
paper mario: the thousand-year door,BOSS_IN,big boo,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,big boo,,Switch,2024,2.25
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,big boo,,3DS,2018,
luigi's mansion: dark moon,BOSS_IN,big boo,,3DS,2013,4.59
super paper mario,BOSS_IN,big boo,,Wii,2007,3.71
super mario sunshine,BOSS_IN,big boo,big boo;sleepy boo,GC,2002,6.31
paper mario: sticker star,BOSS_IN,big boo,,3DS,2012,2.3
super mario advance 4: super mario bros. 3,BOSS_IN,big boo,,GBA,2003,
super mario galaxy,BOSS_IN,big boo,,Wii,2007,11.35
new super mario bros. wii,BOSS_IN,big boo,,Wii,2009,28.32
super mario galaxy 2,BOSS_IN,big boo,,Wii,2010,7.51
super mario 3d land,BOSS_IN,big boo,,3DS,2011,10.81
new super mario bros. 2,BOSS_IN,big boo,,3DS,2012,9.9
mario party,BOSS_IN,big boo,big boo;sleepy boo,N64,1998,2.7
mario party 2,BOSS_IN,big boo,big boo;sleepy boo,N64,1999,2.5
mario party 4,BOSS_IN,big boo,big boo;sleepy boo,GC,2002,2.47
mario party 6,BOSS_IN,big blooper,,GC,2004,1.65
paper mario,BOSS_IN,big blooper,,N64,2000,1.38
mario party 7,BOSS_IN,big blooper,,GC,2005,1.57
paper mario: the thousand-year door,BOSS_IN,big blooper,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,big blooper,,Switch,2024,2.25
mario party 9,BOSS_IN,big blooper,,Wii,2012,3.13
super paper mario,BOSS_IN,big blooper,,Wii,2007,3.71
mario party 10,BOSS_IN,big blooper,,WiiU,2015,1.58
paper mario: the origami king,BOSS_IN,big blooper,,Switch,2020,
mario party: star rush,BOSS_IN,big blooper,,3DS,2016,0.3
super mario party,BOSS_IN,big blooper,,Switch,2018,
new super mario bros. u,BOSS_IN,big buzzy beetle,,WiiU,2012,5.22
paper mario: sticker star,BOSS_IN,big buzzy beetle,,3DS,2012,2.3
paper mario: color splash,BOSS_IN,big buzzy beetle,,WiiU,2016,0.42
new super mario bros. wii,BOSS_IN,big chain chomp,,Wii,2009,28.32
paper mario: sticker star,BOSS_IN,big chain chomp,,3DS,2012,2.3
new super mario bros. 2,BOSS_IN,big chain chomp,,3DS,2012,9.9
paper mario: color splash,BOSS_IN,big chain chomp,,WiiU,2016,0.42
super mario odyssey,BOSS_IN,big chain chomp,,Switch,2017,
super mario maker 2,BOSS_IN,big chain chomp,,Switch,2019,
new super mario bros. wii,BOSS_IN,big fire piranha,,Wii,2009,28.32
new super mario bros. 2,BOSS_IN,big fire piranha,,3DS,2012,9.9
super mario maker 2,BOSS_IN,big fire piranha,,Switch,2019,
super mario bros. wonder,BOSS_IN,big fire piranha,,Switch,2023,
super mario bros. 3,BOSS_IN,big cheep cheep,,NES,1988,22.48
super mario bros. 3,BOSS_IN,big cheep cheep,,Game & Watch,1990,22.48
super mario kart,BOSS_IN,big cheep cheep,,SNES,1992,8.76
mario party 5,BOSS_IN,big cheep cheep,,GC,2003,2.08
super paper mario,BOSS_IN,big cheep cheep,,Wii,2007,3.71
new super mario bros.,BOSS_IN,big cheep cheep,,DS,2006,29.8
mario kart 64,BOSS_IN,big cheep cheep,,N64,1996,9.87
mario party 7,BOSS_IN,big cheep cheep,,GC,2005,1.57
paper mario: sticker star,BOSS_IN,big cheep cheep,,3DS,2012,2.3
new super mario bros. wii,BOSS_IN,big cheep cheep,,Wii,2009,28.32
mario kart: super circuit,BOSS_IN,big cheep cheep,,GBA,2001,5.47
mario party 8,BOSS_IN,big cheep cheep,,Wii,2007,8.27
paper mario: the origami king,BOSS_IN,big cheep cheep,,Switch,2020,
new super mario bros. 2,BOSS_IN,big cheep cheep,,3DS,2012,9.9
mario kart: double dash!!,BOSS_IN,big cheep cheep,,GC,2003,13.9
mario party ds,BOSS_IN,big cheep cheep,,DS,2007,8.91
mario kart wii,BOSS_IN,big cheep cheep,,Wii,2008,35.52
mario party 10,BOSS_IN,big cheep cheep,,WiiU,2015,1.58
mario kart tour,BOSS_IN,big cheep cheep,,Mobile,2019,
super mario party,BOSS_IN,big cheep cheep,,Switch,2018,
mario party superstars,BOSS_IN,big cheep cheep,,Switch,2021,
super mario maker 2,BOSS_IN,big lava bubble,,Switch,2019,
mario party 10,BOSS_IN,big monty mole,,WiiU,2015,1.58
super mario maker 2,BOSS_IN,big monty mole,,Switch,2019,
mario party: star rush,BOSS_IN,big monty mole,,3DS,2016,0.3
super mario bros. 3,BOSS_IN,mega goomba,,NES,1988,22.48
super mario bros. 3,BOSS_IN,mega goomba,,Game & Watch,1990,22.48
mario party 10,BOSS_IN,mega goomba,,WiiU,2015,1.58
mario party: star rush,BOSS_IN,mega goomba,,3DS,2016,0.3
new super mario bros.,BOSS_IN,mega goomba,,DS,2006,29.8
super mario galaxy,BOSS_IN,mega goomba,,Wii,2007,11.35
new super mario bros. wii,BOSS_IN,mega goomba,,Wii,2009,28.32
super mario galaxy 2,BOSS_IN,mega goomba,,Wii,2010,7.51
super mario 3d land,BOSS_IN,mega goomba,,3DS,2011,10.81
new super mario bros. u,BOSS_IN,mega goomba,,WiiU,2012,5.22
super mario bros. wonder,BOSS_IN,mega goomba,,Switch,2023,
super mario run,BOSS_IN,big spiny,,Mobile,2016,
super mario run,BOSS_IN,big spiny,,Mobile,2017,
mario kart: double dash!!,BOSS_IN,birdo,,GC,2003,13.9
mario party 7,BOSS_IN,birdo,,GC,2005,1.57
super paper mario,BOSS_IN,birdo,,Wii,2007,3.71
mario golf: toadstool tour,BOSS_IN,birdo,,GC,2003,1.53
mario tennis,BOSS_IN,birdo,,GBC,2000,3.59
mario tennis,BOSS_IN,birdo,,N64,2000,3.59
